Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,7.100110
1,CPU Time,6.854461
1,CPI Rate,1.780721
1,Total Thread Count,4
1,Paused Time,0.0
0,Collection and Platform Info,
1,Application Command Line,C:\Users\Franciszek\source\repos\Projekt1_OpenMP_Sito\x64\Release\K3_Sito_sekwencyjne_bez_lokalności.exe "-m" "2" "-n" "50000000" "-t" "20" "-b" "1048576" 
1,Operating System,Microsoft Windows 11
1,Computer Name,Laptop-Franek
1,Result Size,22398992
1,Collection start time,22:13:20 19/05/2026 UTC
1,Collection stop time,22:13:27 19/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Tigerlake H
2,Frequency,2688001127
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
