Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,16.869374
1,CPU Time,16.335596
1,CPI Rate,2.073674
1,Total Thread Count,4
1,Paused Time,0.0
0,Collection and Platform Info,
1,Application Command Line,C:\Users\Franciszek\source\repos\Projekt1_OpenMP_Sito\x64\Release\K3_Sito_sekwencyjne_bez_lokalności.exe "-m" "2" "-n" "100000000" "-t" "20" "-b" "1048576" 
1,Operating System,Microsoft Windows 11
1,Computer Name,Laptop-Franek
1,Result Size,55427027
1,Collection start time,22:12:31 19/05/2026 UTC
1,Collection stop time,22:12:48 19/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Tigerlake H
2,Frequency,2688001089
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
